"TimeGenerated [Local Time]","ContainerImage_s","ContainerName_s","RevisionName_s","Log_s"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","{""level"":30,""time"":1774807432890,""pid"":1,""hostname"":""adpa-backend--0000001-7f648df56-85plh"",""msg"":""AI Service initialized - will fetch AI Gateway key from database""}"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","{""level"":30,""time"":1774807432919,""pid"":1,""hostname"":""adpa-backend--0000001-7f648df56-85plh"",""msg"":""AI Service initialized - will fetch AI Gateway key from database""}"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","node:internal/modules/cjs/loader:1210"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","  throw err;"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","  ^"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001",
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","Error: Cannot find module 'next/headers'"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","Require stack:"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","- /app/server/dist/lib/morphic/utils/url.js"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","- /app/server/dist/lib/morphic/tools/search.js"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","- /app/server/dist/lib/morphic/agents/researcher.js"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","- /app/server/dist/lib/morphic/streaming/create-chat-stream-response.js"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","- /app/server/dist/server/src/modules/morphic/MorphicController.js"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","- /app/server/dist/server/src/modules/morphic/routes.js"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","- /app/server/dist/server/src/server.js"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module._resolveFilename (node:internal/modules/cjs/loader:1207:15)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module._load (node:internal/modules/cjs/loader:1038:27)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module.require (node:internal/modules/cjs/loader:1289:19)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at require (node:internal/modules/helpers:182:18)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Object.<anonymous> (/app/server/dist/lib/morphic/utils/url.js:6:19)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module._compile (node:internal/modules/cjs/loader:1521:14)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module._extensions..js (node:internal/modules/cjs/loader:1623:10)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module.load (node:internal/modules/cjs/loader:1266:32)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module._load (node:internal/modules/cjs/loader:1091:12)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module.require (node:internal/modules/cjs/loader:1289:19)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at require (node:internal/modules/helpers:182:18)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Object.<anonymous> (/app/server/dist/lib/morphic/tools/search.js:9:15)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module._compile (node:internal/modules/cjs/loader:1521:14)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module._extensions..js (node:internal/modules/cjs/loader:1623:10)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module.load (node:internal/modules/cjs/loader:1266:32)"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    at Module._load (node:internal/modules/cjs/loader:1091:12) {"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","  code: 'MODULE_NOT_FOUND',"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","  requireStack: ["
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    '/app/server/dist/lib/morphic/utils/url.js',"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    '/app/server/dist/lib/morphic/tools/search.js',"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    '/app/server/dist/lib/morphic/agents/researcher.js',"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    '/app/server/dist/lib/morphic/streaming/create-chat-stream-response.js',"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    '/app/server/dist/server/src/modules/morphic/MorphicController.js',"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    '/app/server/dist/server/src/modules/morphic/routes.js',"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","    '/app/server/dist/server/src/server.js'"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","  ]"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","}"
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001",
"3/29/2026, 8:03:54.092 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","Node.js v20.20.2"
"3/29/2026, 8:04:06.958 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","No logging configuration. Using default config"
"3/29/2026, 8:04:06.958 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:06.958 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:06.958 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","Langfuse secret key was not passed to constructor or not set as 'LANGFUSE_SECRET_KEY' environment variable. No observability data will be sent to Langfuse."
"3/29/2026, 8:04:06.958 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","⏳ Database connection already in progress, waiting..."
"3/29/2026, 8:04:06.958 PM","docker.io/mdresch/adpa-backend:latest",backend,"adpa-backend--0000001","{""level"":30,""time"":1774807444922,""pid"":1,""hostname"":""adpa-backend--0000001-7f648df56-85plh"",""msg"":""AI Service initialized - will fetch AI Gateway key from database""}"
